pokemon_id,move_id,identifier,generation_id,type_id,type_name,power,pp,accuracy,damage_class,damage_class_text
1,22,vine-whip,1,12,grass,45,25,100,2,physical
1,33,tackle,1,1,normal,40,35,100,2,physical
1,36,take-down,1,1,normal,90,20,85,2,physical
1,38,double-edge,1,1,normal,120,15,100,2,physical
1,45,growl,1,1,normal,0,40,100,1,status
1,74,growth,1,1,normal,0,20,0,1,status
1,75,razor-leaf,1,12,grass,55,25,95,2,physical
1,77,poison-powder,1,4,poison,0,35,75,1,status
1,79,sleep-powder,1,12,grass,0,15,75,1,status
1,230,sweet-scent,2,1,normal,0,20,100,1,status
1,235,synthesis,2,12,grass,0,5,0,1,status
1,388,worry-seed,4,12,grass,0,10,100,1,status
1,402,seed-bomb,4,12,grass,80,15,100,2,physical
2,22,vine-whip,1,12,grass,45,25,100,2,physical
2,33,tackle,1,1,normal,40,35,100,2,physical
2,36,take-down,1,1,normal,90,20,85,2,physical
2,38,double-edge,1,1,normal,120,15,100,2,physical
2,45,growl,1,1,normal,0,40,100,1,status
2,73,leech-seed,1,12,grass,0,10,90,1,status
2,74,growth,1,1,normal,0,20,0,1,status
2,75,razor-leaf,1,12,grass,55,25,95,2,physical
2,76,solar-beam,1,12,grass,120,10,100,3,special
2,77,poison-powder,1,4,poison,0,35,75,1,status
2,79,sleep-powder,1,12,grass,0,15,75,1,status
2,230,sweet-scent,2,1,normal,0,20,100,1,status
2,235,synthesis,2,12,grass,0,5,0,1,status
2,388,worry-seed,4,12,grass,0,10,100,1,status
3,22,vine-whip,1,12,grass,45,25,100,2,physical
3,33,tackle,1,1,normal,40,35,100,2,physical
3,36,take-down,1,1,normal,90,20,85,2,physical
3,38,double-edge,1,1,normal,120,15,100,2,physical
3,45,growl,1,1,normal,0,40,100,1,status
3,73,leech-seed,1,12,grass,0,10,90,1,status
3,74,growth,1,1,normal,0,20,0,1,status
3,75,razor-leaf,1,12,grass,55,25,95,2,physical
3,76,solar-beam,1,12,grass,120,10,100,3,special
3,77,poison-powder,1,4,poison,0,35,75,1,status
3,79,sleep-powder,1,12,grass,0,15,75,1,status
3,80,petal-dance,1,12,grass,120,10,100,3,special
3,230,sweet-scent,2,1,normal,0,20,100,1,status
3,235,synthesis,2,12,grass,0,5,0,1,status
3,388,worry-seed,4,12,grass,0,10,100,1,status
3,572,petal-blizzard,6,12,grass,90,15,100,2,physical
4,10,scratch,1,1,normal,40,35,100,2,physical
4,45,growl,1,1,normal,0,40,100,1,status
4,52,ember,1,10,fire,40,25,100,3,special
4,53,flamethrower,1,10,fire,90,15,100,3,special
4,82,dragon-rage,1,16,dragon,0,10,100,3,special
4,83,fire-spin,1,10,fire,35,15,85,3,special
4,108,smokescreen,1,1,normal,0,20,100,1,status
4,163,slash,1,1,normal,70,20,100,2,physical
4,184,scary-face,2,1,normal,0,10,100,1,status
4,424,fire-fang,4,10,fire,65,15,95,2,physical
4,481,flame-burst,5,10,fire,70,15,100,3,special
4,517,inferno,5,10,fire,100,5,50,3,special
5,10,scratch,1,1,normal,40,35,100,2,physical
5,45,growl,1,1,normal,0,40,100,1,status
5,52,ember,1,10,fire,40,25,100,3,special
5,53,flamethrower,1,10,fire,90,15,100,3,special
5,82,dragon-rage,1,16,dragon,0,10,100,3,special
5,83,fire-spin,1,10,fire,35,15,85,3,special
5,108,smokescreen,1,1,normal,0,20,100,1,status
5,163,slash,1,1,normal,70,20,100,2,physical
5,184,scary-face,2,1,normal,0,10,100,1,status
5,424,fire-fang,4,10,fire,65,15,95,2,physical
5,481,flame-burst,5,10,fire,70,15,100,3,special
5,517,inferno,5,10,fire,100,5,50,3,special
6,10,scratch,1,1,normal,40,35,100,2,physical
6,17,wing-attack,1,3,flying,60,35,100,2,physical
6,45,growl,1,1,normal,0,40,100,1,status
6,52,ember,1,10,fire,40,25,100,3,special
6,53,flamethrower,1,10,fire,90,15,100,3,special
6,82,dragon-rage,1,16,dragon,0,10,100,3,special
6,83,fire-spin,1,10,fire,35,15,85,3,special
6,108,smokescreen,1,1,normal,0,20,100,1,status
6,163,slash,1,1,normal,70,20,100,2,physical
6,184,scary-face,2,1,normal,0,10,100,1,status
6,257,heat-wave,3,10,fire,95,10,90,3,special
6,337,dragon-claw,3,16,dragon,80,15,100,2,physical
6,394,flare-blitz,4,10,fire,120,15,100,2,physical
6,403,air-slash,4,3,flying,75,15,95,3,special
6,421,shadow-claw,4,8,ghost,70,15,100,2,physical
6,424,fire-fang,4,10,fire,65,15,95,2,physical
6,481,flame-burst,5,10,fire,70,15,100,3,special
6,517,inferno,5,10,fire,100,5,50,3,special
7,33,tackle,1,1,normal,40,35,100,2,physical
7,39,tail-whip,1,1,normal,0,30,100,1,status
7,44,bite,1,17,dark,60,25,100,2,physical
7,55,water-gun,1,11,water,40,25,100,3,special
7,56,hydro-pump,1,11,water,110,5,80,3,special
7,110,withdraw,1,11,water,0,40,0,1,status
7,130,skull-bash,1,1,normal,130,10,100,2,physical
7,145,bubble,1,11,water,40,30,100,3,special
7,182,protect,2,1,normal,0,10,0,1,status
7,229,rapid-spin,2,1,normal,20,40,100,2,physical
7,240,rain-dance,2,11,water,0,5,0,1,status
7,334,iron-defense,3,9,steel,0,15,0,1,status
7,352,water-pulse,3,11,water,60,20,100,3,special
7,401,aqua-tail,4,11,water,90,10,90,2,physical
8,33,tackle,1,1,normal,40,35,100,2,physical
8,39,tail-whip,1,1,normal,0,30,100,1,status
8,44,bite,1,17,dark,60,25,100,2,physical
8,55,water-gun,1,11,water,40,25,100,3,special
8,56,hydro-pump,1,11,water,110,5,80,3,special
8,110,withdraw,1,11,water,0,40,0,1,status
8,130,skull-bash,1,1,normal,130,10,100,2,physical
8,145,bubble,1,11,water,40,30,100,3,special
8,182,protect,2,1,normal,0,10,0,1,status
8,229,rapid-spin,2,1,normal,20,40,100,2,physical
8,240,rain-dance,2,11,water,0,5,0,1,status
8,334,iron-defense,3,9,steel,0,15,0,1,status
8,352,water-pulse,3,11,water,60,20,100,3,special
8,401,aqua-tail,4,11,water,90,10,90,2,physical
9,33,tackle,1,1,normal,40,35,100,2,physical
9,39,tail-whip,1,1,normal,0,30,100,1,status
9,44,bite,1,17,dark,60,25,100,2,physical
9,55,water-gun,1,11,water,40,25,100,3,special
9,56,hydro-pump,1,11,water,110,5,80,3,special
9,110,withdraw,1,11,water,0,40,0,1,status
9,130,skull-bash,1,1,normal,130,10,100,2,physical
9,145,bubble,1,11,water,40,30,100,3,special
9,182,protect,2,1,normal,0,10,0,1,status
9,229,rapid-spin,2,1,normal,20,40,100,2,physical
9,240,rain-dance,2,11,water,0,5,0,1,status
9,334,iron-defense,3,9,steel,0,15,0,1,status
9,352,water-pulse,3,11,water,60,20,100,3,special
9,401,aqua-tail,4,11,water,90,10,90,2,physical
9,430,flash-cannon,4,9,steel,80,10,100,3,special
10,33,tackle,1,1,normal,40,35,100,2,physical
10,81,string-shot,1,7,bug,0,40,95,1,status
10,450,bug-bite,4,7,bug,60,20,100,2,physical
11,106,harden,1,1,normal,0,30,0,1,status
12,16,gust,1,3,flying,40,35,100,3,special
12,18,whirlwind,1,1,normal,0,20,0,1,status
12,48,supersonic,1,1,normal,0,20,55,1,status
12,60,psybeam,1,14,psychic,65,20,100,3,special
12,77,poison-powder,1,4,poison,0,35,75,1,status
12,78,stun-spore,1,12,grass,0,30,75,1,status
12,79,sleep-powder,1,12,grass,0,15,75,1,status
12,93,confusion,1,14,psychic,50,25,100,3,special
12,219,safeguard,2,1,normal,0,25,0,1,status
12,318,silver-wind,3,7,bug,60,5,100,3,special
12,366,tailwind,4,3,flying,0,15,0,1,status
12,403,air-slash,4,3,flying,75,15,95,3,special
12,405,bug-buzz,4,7,bug,90,10,100,3,special
12,445,captivate,4,1,normal,0,20,100,1,status
12,476,rage-powder,5,7,bug,0,20,0,1,status
12,483,quiver-dance,5,7,bug,0,20,0,1,status
13,40,poison-sting,1,4,poison,15,35,100,2,physical
13,81,string-shot,1,7,bug,0,40,95,1,status
13,450,bug-bite,4,7,bug,60,20,100,2,physical
14,106,harden,1,1,normal,0,30,0,1,status
15,31,fury-attack,1,1,normal,15,20,85,2,physical
15,41,twineedle,1,7,bug,25,20,100,2,physical
15,42,pin-missile,1,7,bug,25,20,95,2,physical
15,97,agility,1,14,psychic,0,30,0,1,status
15,99,rage,1,1,normal,20,20,100,2,physical
15,116,focus-energy,1,1,normal,0,30,0,1,status
15,228,pursuit,2,17,dark,40,20,100,2,physical
15,283,endeavor,3,1,normal,0,5,100,2,physical
15,372,assurance,4,17,dark,60,10,100,2,physical
15,390,toxic-spikes,4,4,poison,0,20,0,1,status
15,398,poison-jab,4,4,poison,80,20,100,2,physical
15,474,venoshock,5,4,poison,65,10,100,3,special
15,565,fell-stinger,6,7,bug,50,25,100,2,physical
16,16,gust,1,3,flying,40,35,100,3,special
16,17,wing-attack,1,3,flying,60,35,100,2,physical
16,18,whirlwind,1,1,normal,0,20,0,1,status
16,28,sand-attack,1,5,ground,0,15,100,1,status
16,33,tackle,1,1,normal,40,35,100,2,physical
16,97,agility,1,14,psychic,0,30,0,1,status
16,98,quick-attack,1,1,normal,40,30,100,2,physical
16,119,mirror-move,1,3,flying,0,20,0,1,status
16,239,twister,2,16,dragon,40,20,100,3,special
16,297,feather-dance,3,3,flying,0,15,100,1,status
16,355,roost,4,3,flying,0,10,0,1,status
16,366,tailwind,4,3,flying,0,15,0,1,status
16,403,air-slash,4,3,flying,75,15,95,3,special
16,542,hurricane,5,3,flying,110,10,70,3,special
17,16,gust,1,3,flying,40,35,100,3,special
17,17,wing-attack,1,3,flying,60,35,100,2,physical
17,18,whirlwind,1,1,normal,0,20,0,1,status
17,28,sand-attack,1,5,ground,0,15,100,1,status
17,33,tackle,1,1,normal,40,35,100,2,physical
17,97,agility,1,14,psychic,0,30,0,1,status
17,98,quick-attack,1,1,normal,40,30,100,2,physical
17,119,mirror-move,1,3,flying,0,20,0,1,status
17,239,twister,2,16,dragon,40,20,100,3,special
17,297,feather-dance,3,3,flying,0,15,100,1,status
17,355,roost,4,3,flying,0,10,0,1,status
17,366,tailwind,4,3,flying,0,15,0,1,status
17,403,air-slash,4,3,flying,75,15,95,3,special
17,542,hurricane,5,3,flying,110,10,70,3,special
18,16,gust,1,3,flying,40,35,100,3,special
18,17,wing-attack,1,3,flying,60,35,100,2,physical
18,18,whirlwind,1,1,normal,0,20,0,1,status
18,28,sand-attack,1,5,ground,0,15,100,1,status
18,33,tackle,1,1,normal,40,35,100,2,physical
18,97,agility,1,14,psychic,0,30,0,1,status
18,98,quick-attack,1,1,normal,40,30,100,2,physical
18,119,mirror-move,1,3,flying,0,20,0,1,status
18,239,twister,2,16,dragon,40,20,100,3,special
18,297,feather-dance,3,3,flying,0,15,100,1,status
18,355,roost,4,3,flying,0,10,0,1,status
18,366,tailwind,4,3,flying,0,15,0,1,status
18,403,air-slash,4,3,flying,75,15,95,3,special
18,542,hurricane,5,3,flying,110,10,70,3,special
19,33,tackle,1,1,normal,40,35,100,2,physical
19,38,double-edge,1,1,normal,120,15,100,2,physical
19,39,tail-whip,1,1,normal,0,30,100,1,status
19,44,bite,1,17,dark,60,25,100,2,physical
19,98,quick-attack,1,1,normal,40,30,100,2,physical
19,116,focus-energy,1,1,normal,0,30,0,1,status
19,158,hyper-fang,1,1,normal,80,15,90,2,physical
19,162,super-fang,1,1,normal,0,10,90,2,physical
19,228,pursuit,2,17,dark,40,20,100,2,physical
19,242,crunch,2,17,dark,80,15,100,2,physical
19,283,endeavor,3,1,normal,0,5,100,2,physical
19,372,assurance,4,17,dark,60,10,100,2,physical
19,389,sucker-punch,4,17,dark,70,5,100,2,physical
20,14,swords-dance,1,1,normal,0,20,0,1,status
20,33,tackle,1,1,normal,40,35,100,2,physical
20,38,double-edge,1,1,normal,120,15,100,2,physical
20,39,tail-whip,1,1,normal,0,30,100,1,status
20,44,bite,1,17,dark,60,25,100,2,physical
20,98,quick-attack,1,1,normal,40,30,100,2,physical
20,116,focus-energy,1,1,normal,0,30,0,1,status
20,158,hyper-fang,1,1,normal,80,15,90,2,physical
20,162,super-fang,1,1,normal,0,10,90,2,physical
20,184,scary-face,2,1,normal,0,10,100,1,status
20,228,pursuit,2,17,dark,40,20,100,2,physical
20,242,crunch,2,17,dark,80,15,100,2,physical
20,283,endeavor,3,1,normal,0,5,100,2,physical
20,372,assurance,4,17,dark,60,10,100,2,physical
20,389,sucker-punch,4,17,dark,70,5,100,2,physical
21,31,fury-attack,1,1,normal,15,20,85,2,physical
21,43,leer,1,1,normal,0,30,100,1,status
21,45,growl,1,1,normal,0,40,100,1,status
21,64,peck,1,3,flying,35,35,100,2,physical
21,65,drill-peck,1,3,flying,80,20,100,2,physical
21,97,agility,1,14,psychic,0,30,0,1,status
21,116,focus-energy,1,1,normal,0,30,0,1,status
21,119,mirror-move,1,3,flying,0,20,0,1,status
21,228,pursuit,2,17,dark,40,20,100,2,physical
21,332,aerial-ace,3,3,flying,60,20,0,2,physical
21,355,roost,4,3,flying,0,10,0,1,status
21,372,assurance,4,17,dark,60,10,100,2,physical
22,31,fury-attack,1,1,normal,15,20,85,2,physical
22,43,leer,1,1,normal,0,30,100,1,status
22,45,growl,1,1,normal,0,40,100,1,status
22,64,peck,1,3,flying,35,35,100,2,physical
22,65,drill-peck,1,3,flying,80,20,100,2,physical
22,97,agility,1,14,psychic,0,30,0,1,status
22,116,focus-energy,1,1,normal,0,30,0,1,status
22,119,mirror-move,1,3,flying,0,20,0,1,status
22,228,pursuit,2,17,dark,40,20,100,2,physical
22,332,aerial-ace,3,3,flying,60,20,0,2,physical
22,355,roost,4,3,flying,0,10,0,1,status
22,365,pluck,4,3,flying,60,20,100,2,physical
22,372,assurance,4,17,dark,60,10,100,2,physical
22,529,drill-run,5,5,ground,80,10,95,2,physical
23,35,wrap,1,1,normal,15,20,90,2,physical
23,40,poison-sting,1,4,poison,15,35,100,2,physical
23,43,leer,1,1,normal,0,30,100,1,status
23,44,bite,1,17,dark,60,25,100,2,physical
23,51,acid,1,4,poison,40,30,100,3,special
23,103,screech,1,1,normal,0,40,85,1,status
23,114,haze,1,15,ice,0,30,0,1,status
23,137,glare,1,1,normal,0,30,100,1,status
23,254,stockpile,3,1,normal,0,20,0,1,status
23,255,spit-up,3,1,normal,0,10,100,3,special
23,256,swallow,3,1,normal,0,10,0,1,status
23,380,gastro-acid,4,4,poison,0,10,100,1,status
23,426,mud-bomb,4,5,ground,65,10,85,3,special
23,441,gunk-shot,4,4,poison,120,5,80,2,physical
23,489,coil,5,4,poison,0,20,0,1,status
23,491,acid-spray,5,4,poison,40,20,100,3,special
23,562,belch,6,4,poison,120,10,90,3,special
24,35,wrap,1,1,normal,15,20,90,2,physical
24,40,poison-sting,1,4,poison,15,35,100,2,physical
24,43,leer,1,1,normal,0,30,100,1,status
24,44,bite,1,17,dark,60,25,100,2,physical
24,51,acid,1,4,poison,40,30,100,3,special
24,103,screech,1,1,normal,0,40,85,1,status
24,114,haze,1,15,ice,0,30,0,1,status
24,137,glare,1,1,normal,0,30,100,1,status
24,242,crunch,2,17,dark,80,15,100,2,physical
