Calculation1,Number of Records,Base Experience,Base Happiness,Base Stat,Capture Rate,Color Id,Conquest Order,Effort,Evolution Chain Id,Evolves From Species Id,Forms Switchable,Gender Rate,Generation Id (Generation Names.Csv),Generation Id,Growth Rate Id,Habitat Id,Has Gender Differences,Hatch Counter,Height,Id (Generations.Csv),Id (Pokemon Species.Csv),Id,Identifier (Generations.Csv),Identifier (Pokemon Species.Csv),Identifier,Is Baby,Is Default,Local Language Id (Generation Names.Csv),Local Language Id (Type Names.Csv),Local Language Id,Main Region Id,Name (Generation Names.Csv),Name (Type Names.Csv),Name,Order (Pokemon Species.Csv),Order,Pokemon Id (Pokemon Types.Csv),Pokemon Id,Shape Id,Slot,Species Id,Stat Id (Stat Names.Csv),Stat Id,Type Id (Type Names.Csv),Type Id,Weight
45,1,64,70,45,45,5,,0,1,,0,1,1,1,4,3,0,20,7,1,1,1,generation-i,bulbasaur,bulbasaur,0,1,5,5,5,1,Génération I,Plante,PV,1,1,1,1,8,1,1,1,1,12,12,69
49,1,64,70,49,45,5,,0,1,,0,1,1,1,4,3,0,20,7,1,1,1,generation-i,bulbasaur,bulbasaur,0,1,5,5,5,1,Génération I,Plante,Attaque,1,1,1,1,8,1,1,2,2,12,12,69
49,1,64,70,49,45,5,,0,1,,0,1,1,1,4,3,0,20,7,1,1,1,generation-i,bulbasaur,bulbasaur,0,1,5,5,5,1,Génération I,Plante,Défense,1,1,1,1,8,1,1,3,3,12,12,69
65,1,64,70,65,45,5,,1,1,,0,1,1,1,4,3,0,20,7,1,1,1,generation-i,bulbasaur,bulbasaur,0,1,5,5,5,1,Génération I,Plante,Attaque Spéciale,1,1,1,1,8,1,1,4,4,12,12,69
65,1,64,70,65,45,5,,0,1,,0,1,1,1,4,3,0,20,7,1,1,1,generation-i,bulbasaur,bulbasaur,0,1,5,5,5,1,Génération I,Plante,Défense Spéciale,1,1,1,1,8,1,1,5,5,12,12,69
45,1,64,70,45,45,5,,0,1,,0,1,1,1,4,3,0,20,7,1,1,1,generation-i,bulbasaur,bulbasaur,0,1,5,5,5,1,Génération I,Plante,Vitesse,1,1,1,1,8,1,1,6,6,12,12,69
60,1,142,70,60,45,5,,0,1,1,0,1,1,1,4,3,0,20,10,1,2,2,generation-i,ivysaur,ivysaur,0,1,5,5,5,1,Génération I,Plante,PV,2,2,2,2,8,1,2,1,1,12,12,130
62,1,142,70,62,45,5,,0,1,1,0,1,1,1,4,3,0,20,10,1,2,2,generation-i,ivysaur,ivysaur,0,1,5,5,5,1,Génération I,Plante,Attaque,2,2,2,2,8,1,2,2,2,12,12,130
63,1,142,70,63,45,5,,0,1,1,0,1,1,1,4,3,0,20,10,1,2,2,generation-i,ivysaur,ivysaur,0,1,5,5,5,1,Génération I,Plante,Défense,2,2,2,2,8,1,2,3,3,12,12,130
80,1,142,70,80,45,5,,1,1,1,0,1,1,1,4,3,0,20,10,1,2,2,generation-i,ivysaur,ivysaur,0,1,5,5,5,1,Génération I,Plante,Attaque Spéciale,2,2,2,2,8,1,2,4,4,12,12,130
80,1,142,70,80,45,5,,1,1,1,0,1,1,1,4,3,0,20,10,1,2,2,generation-i,ivysaur,ivysaur,0,1,5,5,5,1,Génération I,Plante,Défense Spéciale,2,2,2,2,8,1,2,5,5,12,12,130
60,1,142,70,60,45,5,,0,1,1,0,1,1,1,4,3,0,20,10,1,2,2,generation-i,ivysaur,ivysaur,0,1,5,5,5,1,Génération I,Plante,Vitesse,2,2,2,2,8,1,2,6,6,12,12,130
80,1,236,70,80,45,5,,0,1,2,1,1,1,1,4,3,1,20,20,1,3,3,generation-i,venusaur,venusaur,0,1,5,5,5,1,Génération I,Plante,PV,3,3,3,3,8,1,3,1,1,12,12,1000
82,1,236,70,82,45,5,,0,1,2,1,1,1,1,4,3,1,20,20,1,3,3,generation-i,venusaur,venusaur,0,1,5,5,5,1,Génération I,Plante,Attaque,3,3,3,3,8,1,3,2,2,12,12,1000
83,1,236,70,83,45,5,,0,1,2,1,1,1,1,4,3,1,20,20,1,3,3,generation-i,venusaur,venusaur,0,1,5,5,5,1,Génération I,Plante,Défense,3,3,3,3,8,1,3,3,3,12,12,1000
100,1,236,70,100,45,5,,2,1,2,1,1,1,1,4,3,1,20,20,1,3,3,generation-i,venusaur,venusaur,0,1,5,5,5,1,Génération I,Plante,Attaque Spéciale,3,3,3,3,8,1,3,4,4,12,12,1000
100,1,236,70,100,45,5,,1,1,2,1,1,1,1,4,3,1,20,20,1,3,3,generation-i,venusaur,venusaur,0,1,5,5,5,1,Génération I,Plante,Défense Spéciale,3,3,3,3,8,1,3,5,5,12,12,1000
80,1,236,70,80,45,5,,0,1,2,1,1,1,1,4,3,1,20,20,1,3,3,generation-i,venusaur,venusaur,0,1,5,5,5,1,Génération I,Plante,Vitesse,3,3,3,3,8,1,3,6,6,12,12,1000
39,1,62,70,39,45,8,109,0,2,,0,1,1,1,4,4,0,20,6,1,4,4,generation-i,charmander,charmander,0,1,5,5,5,1,Génération I,Feu,PV,4,5,4,4,6,1,4,1,1,10,10,85
52,1,62,70,52,45,8,109,0,2,,0,1,1,1,4,4,0,20,6,1,4,4,generation-i,charmander,charmander,0,1,5,5,5,1,Génération I,Feu,Attaque,4,5,4,4,6,1,4,2,2,10,10,85
43,1,62,70,43,45,8,109,0,2,,0,1,1,1,4,4,0,20,6,1,4,4,generation-i,charmander,charmander,0,1,5,5,5,1,Génération I,Feu,Défense,4,5,4,4,6,1,4,3,3,10,10,85
60,1,62,70,60,45,8,109,0,2,,0,1,1,1,4,4,0,20,6,1,4,4,generation-i,charmander,charmander,0,1,5,5,5,1,Génération I,Feu,Attaque Spéciale,4,5,4,4,6,1,4,4,4,10,10,85
50,1,62,70,50,45,8,109,0,2,,0,1,1,1,4,4,0,20,6,1,4,4,generation-i,charmander,charmander,0,1,5,5,5,1,Génération I,Feu,Défense Spéciale,4,5,4,4,6,1,4,5,5,10,10,85
65,1,62,70,65,45,8,109,1,2,,0,1,1,1,4,4,0,20,6,1,4,4,generation-i,charmander,charmander,0,1,5,5,5,1,Génération I,Feu,Vitesse,4,5,4,4,6,1,4,6,6,10,10,85
58,1,142,70,58,45,8,110,0,2,4,0,1,1,1,4,4,0,20,11,1,5,5,generation-i,charmeleon,charmeleon,0,1,5,5,5,1,Génération I,Feu,PV,5,6,5,5,6,1,5,1,1,10,10,190
64,1,142,70,64,45,8,110,0,2,4,0,1,1,1,4,4,0,20,11,1,5,5,generation-i,charmeleon,charmeleon,0,1,5,5,5,1,Génération I,Feu,Attaque,5,6,5,5,6,1,5,2,2,10,10,190
58,1,142,70,58,45,8,110,0,2,4,0,1,1,1,4,4,0,20,11,1,5,5,generation-i,charmeleon,charmeleon,0,1,5,5,5,1,Génération I,Feu,Défense,5,6,5,5,6,1,5,3,3,10,10,190
80,1,142,70,80,45,8,110,1,2,4,0,1,1,1,4,4,0,20,11,1,5,5,generation-i,charmeleon,charmeleon,0,1,5,5,5,1,Génération I,Feu,Attaque Spéciale,5,6,5,5,6,1,5,4,4,10,10,190
65,1,142,70,65,45,8,110,0,2,4,0,1,1,1,4,4,0,20,11,1,5,5,generation-i,charmeleon,charmeleon,0,1,5,5,5,1,Génération I,Feu,Défense Spéciale,5,6,5,5,6,1,5,5,5,10,10,190
80,1,142,70,80,45,8,110,1,2,4,0,1,1,1,4,4,0,20,11,1,5,5,generation-i,charmeleon,charmeleon,0,1,5,5,5,1,Génération I,Feu,Vitesse,5,6,5,5,6,1,5,6,6,10,10,190
78,1,240,70,78,45,8,111,0,2,5,1,1,1,1,4,4,0,20,17,1,6,6,generation-i,charizard,charizard,0,1,5,5,5,1,Génération I,Feu,PV,6,7,6,6,6,1,6,1,1,10,10,905
84,1,240,70,84,45,8,111,0,2,5,1,1,1,1,4,4,0,20,17,1,6,6,generation-i,charizard,charizard,0,1,5,5,5,1,Génération I,Feu,Attaque,6,7,6,6,6,1,6,2,2,10,10,905
78,1,240,70,78,45,8,111,0,2,5,1,1,1,1,4,4,0,20,17,1,6,6,generation-i,charizard,charizard,0,1,5,5,5,1,Génération I,Feu,Défense,6,7,6,6,6,1,6,3,3,10,10,905
109,1,240,70,109,45,8,111,3,2,5,1,1,1,1,4,4,0,20,17,1,6,6,generation-i,charizard,charizard,0,1,5,5,5,1,Génération I,Feu,Attaque Spéciale,6,7,6,6,6,1,6,4,4,10,10,905
85,1,240,70,85,45,8,111,0,2,5,1,1,1,1,4,4,0,20,17,1,6,6,generation-i,charizard,charizard,0,1,5,5,5,1,Génération I,Feu,Défense Spéciale,6,7,6,6,6,1,6,5,5,10,10,905
100,1,240,70,100,45,8,111,0,2,5,1,1,1,1,4,4,0,20,17,1,6,6,generation-i,charizard,charizard,0,1,5,5,5,1,Génération I,Feu,Vitesse,6,7,6,6,6,1,6,6,6,10,10,905
44,1,63,70,44,45,2,,0,3,,0,1,1,1,4,9,0,20,5,1,7,7,generation-i,squirtle,squirtle,0,1,5,5,5,1,Génération I,Eau,PV,7,10,7,7,6,1,7,1,1,11,11,90
48,1,63,70,48,45,2,,0,3,,0,1,1,1,4,9,0,20,5,1,7,7,generation-i,squirtle,squirtle,0,1,5,5,5,1,Génération I,Eau,Attaque,7,10,7,7,6,1,7,2,2,11,11,90
65,1,63,70,65,45,2,,1,3,,0,1,1,1,4,9,0,20,5,1,7,7,generation-i,squirtle,squirtle,0,1,5,5,5,1,Génération I,Eau,Défense,7,10,7,7,6,1,7,3,3,11,11,90
50,1,63,70,50,45,2,,0,3,,0,1,1,1,4,9,0,20,5,1,7,7,generation-i,squirtle,squirtle,0,1,5,5,5,1,Génération I,Eau,Attaque Spéciale,7,10,7,7,6,1,7,4,4,11,11,90
64,1,63,70,64,45,2,,0,3,,0,1,1,1,4,9,0,20,5,1,7,7,generation-i,squirtle,squirtle,0,1,5,5,5,1,Génération I,Eau,Défense Spéciale,7,10,7,7,6,1,7,5,5,11,11,90
43,1,63,70,43,45,2,,0,3,,0,1,1,1,4,9,0,20,5,1,7,7,generation-i,squirtle,squirtle,0,1,5,5,5,1,Génération I,Eau,Vitesse,7,10,7,7,6,1,7,6,6,11,11,90
59,1,142,70,59,45,2,,0,3,7,0,1,1,1,4,9,0,20,10,1,8,8,generation-i,wartortle,wartortle,0,1,5,5,5,1,Génération I,Eau,PV,8,11,8,8,6,1,8,1,1,11,11,225
63,1,142,70,63,45,2,,0,3,7,0,1,1,1,4,9,0,20,10,1,8,8,generation-i,wartortle,wartortle,0,1,5,5,5,1,Génération I,Eau,Attaque,8,11,8,8,6,1,8,2,2,11,11,225
80,1,142,70,80,45,2,,1,3,7,0,1,1,1,4,9,0,20,10,1,8,8,generation-i,wartortle,wartortle,0,1,5,5,5,1,Génération I,Eau,Défense,8,11,8,8,6,1,8,3,3,11,11,225
